country,region,number_of_doc
Croatia,Primorsko-goranska zupanija,1663
Hungary,Bekes,1659
Croatia,Osjecko-baranjska zupanija,1657
Canada,Manitoba,1637
Austria,Vorarlberg,1627
Sweden,Hallands Lan,1626
Mexico,Chihuahua,1622
Croatia,Zagrebacka zupanija,1621
Bulgaria,Burgas,1610
Czech Republic,Pardubicky kraj,1591
Lithuania,Panevezio Apskritis,1590
Mexico,Michoacan,1589
Finland,Pohjois-Pohjanmaa,1582
Chile,Tarapaca,1582
Romania,Dambovita,1561
Norway,Buskerud,1560
Poland,Swietokrzyskie,1559
Australia,Tasmania,1554
Norway,Vestfold,1554
Romania,Braila,1552
New Zealand,Canterbury,1538
Romania,Valcea,1537
New Zealand,Bay of Plenty,1537
Dominican Republic,Distrito Nacional,1534
Poland,Podlaskie,1532
Turkey,Sakarya,1518
Switzerland,Ticino,1504
Sweden,Gavleborgs Lan,1503
United States,Iowa,1497
Sweden,Vasterbottens Lan,1491
Argentina,Santa Fe,1486
IPV6 ADDRESS MISSING IN IPV4 BIN,IPV6 ADDRESS MISSING IN IPV4 BIN,1474
Turkey,Mugla,1469
United States,Kansas,1465
United States,Mississippi,1463
Ireland,Meath,1459
Switzerland,Basel-Landschaft,1453
Ireland,Kildare,1448
Sweden,Varmlands Lan,1448
Romania,Alba,1445
Turkey,Eskisehir,1442
Romania,Gorj,1438
United States,Idaho,1435
Canada,Saskatchewan,1419
United States,District Of Columbia,1411
Ireland,Galway,1409
Bosnia and Herzegovina,Federacija Bosna i Hercegovina,1407
Uruguay,Montevideo,1388
Mexico,Tabasco,1385
Spain,Cantabria,1383
Romania,Vrancea,1375
Bulgaria,Sofia,1372
Romania,Caras-Severin,1369
Viet Nam,Binh Duong,1368
France,Franche-Comte,1365
France,Limousin,1351
Mexico,Sonora,1348
Spain,"Navarra, Comunidad Foral de",1347
Ireland,Limerick,1346
South Africa,North-West,1323
Canada,New Brunswick,1320
Romania,Teleorman,1316
Turkey,Tekirdag,1315
Turkey,Manisa,1313
Estonia,Tartumaa,1311
Finland,Kanta-Hame,1310
Hungary,Vas,1300
Czech Republic,Karlovarsky kraj,1298
Norway,More og Romsdal,1295
Norway,Nordland,1295
Portugal,Leiria,1292
United States,Arkansas,1288
New Zealand,Wellington,1275
Slovenia,Maribor,1272
Mexico,Quintana Roo,1269
Belgium,Luxembourg,1255
Croatia,Zadarska zupanija,1249
Turkey,Kayseri,1249
Romania,Neamt,1244
Switzerland,Fribourg,1197
Lithuania,Siauliu Apskritis,1194
Sweden,Sodermanlands Lan,1191
Mexico,Oaxaca,1183
Canada,Nova Scotia,1180
Bulgaria,Stara Zagora,1174
Portugal,Santarem,1171
Bulgaria,Ruse,1154
Finland,Pohjois-Savo,1154
Colombia,Atlantico,1152
Chile,Atacama,1139
China,Zhejiang,1123
Honduras,Francisco Morazan,1119
United States,Nebraska,1112
Sweden,Vasternorrlands Lan,1099
Romania,Buzau,1091
Sweden,Kronobergs Lan,1086
Croatia,Dubrovacko-neretvanska zupanija,1084
Sweden,Kalmar Lan,1081
Mexico,Sinaloa,1073
Mexico,Hidalgo,1071
Chile,Los Rios,1068
Croatia,Varazdinska zupanija,1059
Norway,Hedmark,1056
Switzerland,Solothurn,1056
Hungary,Tolna,1054
Turkey,Malatya,1047
Romania,Satu Mare,1046
Norway,Oppland,1045
Colombia,Santander,1044
Switzerland,Valais,1043
Ireland,Wexford,1041
Bulgaria,Haskovo,1037
South Africa,Eastern Cape,1032
Sweden,Norrbottens Lan,1030
