Field,Type,Count
stone[].stone_gia[].total_carat.option_title,str,4216968
stone[].stone_gia[].total_carat.default_option_title,str,4216968
stone[].stone_gia[].diameter,dict,4216968
stone[].stone_gia[].diameter.value,str,4216968
stone[].stone_gia[].diameter.label,str,4216968
stone[].stone_gia[].diameter.default_label,str,4216968
stone[].stone_gia[].diameter.option_title,str,4216968
stone[].stone_gia[].diameter.default_option_title,str,4216968
stone[].stone_gia[].shape,dict,4216968
stone[].stone_gia[].shape.value,str,4216968
stone[].stone_gia[].shape.label,str,4216968
stone[].stone_gia[].shape.default_label,str,4216968
stone[].stone_gia[].shape.option_title,str,4216968
stone[].stone_gia[].shape.default_option_title,str,4216968
stone[].stone_gia[].quality,dict,4216968
stone[].stone_gia[].quality.value,NoneType,4216968
stone[].stone_gia[].quality.label,NoneType,4216968
stone[].stone_gia[].quality.default_label,NoneType,4216968
stone[].stone_gia[].quality.option_title,str,4216968
stone[].stone_gia[].quality.default_option_title,str,4216968
stone[].stone_gia[].clarity,dict,4216968
stone[].stone_gia[].clarity.value,str,4216968
stone[].stone_gia[].clarity.label,str,4216968
stone[].stone_gia[].clarity.default_label,str,4216968
stone[].stone_gia[].clarity.option_title,str,4216968
stone[].stone_gia[].clarity.default_option_title,str,4216968
stone[].stone_gia[].cut,dict,4216968
stone[].stone_gia[].cut.value,str,4216968
stone[].stone_gia[].cut.label,str,4216968
stone[].stone_gia[].cut.default_label,str,4216968
stone[].stone_gia[].cut.option_title,str,4216968
stone[].stone_gia[].cut.default_option_title,str,4216968
stone[].stone_gia[].colour,dict,4216968
stone[].stone_gia[].colour.value,str,4216968
stone[].stone_gia[].colour.label,str,4216968
stone[].stone_gia[].colour.default_label,str,4216968
stone[].stone_gia[].colour.option_title,str,4216968
stone[].stone_gia[].colour.default_option_title,str,4216968
stone[].stone_gia[].origin,dict,4216968
stone[].stone_gia[].origin.value,NoneType,4216968
stone[].stone_gia[].origin.label,str,4216968
stone[].stone_gia[].origin.default_label,NoneType,4216968
stone[].stone_gia[].origin.option_title,str,4216968
stone[].stone_gia[].origin.default_option_title,str,4216968
stone[].stone_gia[].origin_colour,dict,4216968
stone[].stone_gia[].origin_colour.value,NoneType,4216968
stone[].stone_gia[].origin_colour.label,str,4216968
stone[].stone_gia[].origin_colour.default_label,NoneType,4216968
stone[].stone_gia[].origin_colour.default_option_title,str,4216968
stone[].stone_gia[].origin_colour.option_title,str,4216968
stone[].stone_gia[].qty,dict,4216968
stone[].stone_gia[].qty.value,int,4216968
stone[].stone_gia[].qty.label,int,4216968
stone[].stone_gia[].qty.default_label,int,4216968
stone[].stone_gia[].qty.option_title,str,4216968
stone[].stone_gia[].qty.default_option_title,str,4216968
stone[].stone_quality[].quality_origins,list,119126
stone[].stone_quality[].quality_origins[],dict,235711
stone[].stone_quality[].quality_origins[].id,str,235711
stone[].stone_quality[].quality_origins[].price,int,235711
stone[].stone_quality[].quality_origins[].label,str,235711
stone[].stone_quality[].quality_origins[].stone_type,dict,235711
stone[].stone_quality[].quality_origins[].stone_type.value,str,235711
stone[].stone_quality[].quality_origins[].stone_type.label,str,235711
stone[].stone_quality[].quality_origins[].stone_type.default_label,str,235711
stone[].stone_quality[].quality_origins[].stone_type.option_title,str,235711
stone[].stone_quality[].quality_origins[].stone_type.default_option_title,str,235711
stone[].stone_quality[].quality_origins[].stone_name,dict,235711
